file_name,relative_path,pdf_path,title,family,document_type,project_role,line_name,frontline_status,status_reason,reading_priority,sequence_stage,upstream_dependency,downstream_target,benchmark_effect,short_description,current_use_rule,last_known_relevance
aether_flow_mass_shaped_gravity_bridge_criterion.tex,manuscripts/active/tex/aether_flow_mass_shaped_gravity_bridge_criterion.tex,manuscripts/active/pdf/aether_flow_mass_shaped_gravity_bridge_criterion.pdf,Mass-Shaped Gravity and the Next Bridge Criterion,benchmark_gatekeeping,criterion,benchmark_routing,benchmark_gatekeeping_layer,active_supporting,Still controls a live derivation gate or benchmark-facing routing decision.,routing,benchmark_gate_07_mass_shaped_criterion,benchmark exact-closure package and settled observer-side closure record,primitive-reservoir main-line routing or benchmark-facing gate review,Changes benchmark-facing routing by settling a gate or moving the burden upstream.,States the mass-shaped gravity criterion for future bridge redesigns and guides routing without setting the current primitive-reservoir frontier.,"Consult before summarizing project state, naming the current main line, or recommending the next benchmark-facing step.",2026-04-01 routing audit
aether_flow_quantum_bridge_screening_note.tex,manuscripts/active/tex/aether_flow_quantum_bridge_screening_note.tex,manuscripts/active/pdf/aether_flow_quantum_bridge_screening_note.pdf,Quantum-Bridge Screening Note,benchmark_gatekeeping,note,benchmark_routing,benchmark_gatekeeping_layer,active_supporting,Still controls a live benchmark-facing routing decision about whether an explicitly quantum branch may be promoted over the current primitive-reservoir frontier.,routing,benchmark_gate_13_quantum_bridge_screening,benchmark exact-closure package; derivation-gates note; post-bridge routing note; current sub-section-dynamics benchmark burden,primitive-reservoir main-line routing or quantum-branch screening review,Changes benchmark-facing routing only by stating the promotion test for any quantum bridge candidate.,Screens an explicitly quantum bridge against the benchmark-relevant sub-section-dynamics burden and therefore distinguishes benchmark-facing promotion from disciplined side work.,Consult before pausing the active primitive-reservoir line or promoting a quantum manuscript to main-line status.,2026-04-03 routing audit
aether_flow_primitive_reservoir_line_continuity_hessian_core_derivation_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_line_continuity_hessian_core_derivation_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_line_continuity_hessian_core_derivation_theorem.pdf,Primitive-Reservoir Line Continuity-Hessian Core Derivation Theorem,primitive_reservoir,theorem,benchmark_gate,benchmark_gatekeeping_layer,active_supporting,Still controls a live derivation gate or benchmark-facing routing decision.,routing,benchmark_gate_06_continuity_hessian_derivation,benchmark exact-closure package and settled observer-side closure record,primitive-reservoir main-line routing or benchmark-facing gate review,Changes benchmark-facing routing by settling a gate or moving the burden upstream.,Derives the branch-locked continuity-Hessian core directly and turns the same-package observer-side closure record into a benchmark-facing theorem.,"Consult before summarizing project state, naming the current main line, or recommending the next benchmark-facing step.",2026-04-01 routing audit
aether_flow_primitive_reservoir_line_continuity_hessian_core_necessity_uniqueness_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_line_continuity_hessian_core_necessity_uniqueness_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_line_continuity_hessian_core_necessity_uniqueness_theorem.pdf,Primitive-Reservoir Line Continuity-Hessian Core Necessity Uniqueness Theorem,primitive_reservoir,theorem,benchmark_gate,benchmark_gatekeeping_layer,active_supporting,Still controls a live derivation gate or benchmark-facing routing decision.,routing,benchmark_gate_05_continuity_hessian_necessity,benchmark exact-closure package and settled observer-side closure record,primitive-reservoir main-line routing or benchmark-facing gate review,Changes benchmark-facing routing by settling a gate or moving the burden upstream.,Proves the necessity and uniqueness gate for the continuity-Hessian core and sharpens the benchmark-routing handoff into the primitive-reservoir line.,"Consult before summarizing project state, naming the current main line, or recommending the next benchmark-facing step.",2026-04-01 routing audit
aether_flow_primitive_reservoir_observer_reduction_affine_response_graph_dynamics_and_combined_response_substrate_law_collapse_to_minimal_zero_response_affine_completion_core_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_affine_response_graph_dynamics_and_combined_response_substrate_law_collapse_to_minimal_zero_response_affine_completion_core_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_affine_response_graph_dynamics_and_combined_response_substrate_law_collapse_to_minimal_zero_response_affine_completion_core_theorem.pdf,Primitive-Reservoir Observer Reduction Affine Response Graph Dynamics and Combined Response Substrate Law Collapse to Minimal Zero Response Affine Completion Core Theorem,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,"Earlier main-line theorem preserved for continuity, but not the current live frontier.",historical,primitive_reduction_prior_record_01,previous primitive-reservoir observer-reduction step,next primitive-reservoir observer-reduction step,Preserves the benchmark one-metric package and mainly records prior main-line progress.,Records the primitive-reservoir observer-reduction step on primitive-reservoir observer reduction affine response graph dynamics and combined response substrate law collapse to minimal zero response affine completion core theorem and preserves earlier main-line progress without by itself changing the current benchmark-facing status.,Consult only after the front door and routing layer when immediate chain history matters.,2026-04-01 routing audit
aether_flow_primitive_reservoir_observer_reduction_ambient_shell_law_necessity_uniqueness_from_combined_response_substrate_law_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_ambient_shell_law_necessity_uniqueness_from_combined_response_substrate_law_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_ambient_shell_law_necessity_uniqueness_from_combined_response_substrate_law_theorem.pdf,Primitive-Reservoir Observer Reduction Ambient-Shell Law Necessity Uniqueness from Combined Response Substrate Law Theorem,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,"Earlier main-line theorem preserved for continuity, but not the current live frontier.",historical,primitive_reduction_prior_record_02,previous primitive-reservoir observer-reduction step,next primitive-reservoir observer-reduction step,Preserves the benchmark one-metric package and mainly records prior main-line progress.,Records the primitive-reservoir observer-reduction step on primitive-reservoir observer reduction ambient-shell law necessity uniqueness from combined response substrate law theorem and preserves earlier main-line progress without by itself changing the current benchmark-facing status.,Consult only after the front door and routing layer when immediate chain history matters.,2026-04-01 routing audit
aether_flow_primitive_reservoir_observer_reduction_chain_forcing_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_chain_forcing_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_chain_forcing_theorem.pdf,Primitive-Reservoir Observer Reduction Chain Forcing Theorem,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,"Earlier main-line theorem preserved for continuity, but not the current live frontier.",historical,primitive_reduction_prior_record_03,previous primitive-reservoir observer-reduction step,next primitive-reservoir observer-reduction step,Preserves the benchmark one-metric package and mainly records prior main-line progress.,Records the primitive-reservoir observer-reduction step on primitive-reservoir observer reduction chain forcing theorem and preserves earlier main-line progress without by itself changing the current benchmark-facing status.,Consult only after the front door and routing layer when immediate chain history matters.,2026-04-01 routing audit
aether_flow_primitive_reservoir_observer_reduction_combined_response_substrate_law_necessity_uniqueness_from_affine_response_graph_dynamics_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_combined_response_substrate_law_necessity_uniqueness_from_affine_response_graph_dynamics_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_combined_response_substrate_law_necessity_uniqueness_from_affine_response_graph_dynamics_theorem.pdf,Primitive-Reservoir Observer Reduction Combined Response Substrate Law Necessity Uniqueness from Affine Response Graph Dynamics Theorem,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,"Earlier main-line theorem preserved for continuity, but not the current live frontier.",historical,primitive_reduction_prior_record_04,previous primitive-reservoir observer-reduction step,next primitive-reservoir observer-reduction step,Preserves the benchmark one-metric package and mainly records prior main-line progress.,Records the primitive-reservoir observer-reduction step on primitive-reservoir observer reduction combined response substrate law necessity uniqueness from affine response graph dynamics theorem and preserves earlier main-line progress without by itself changing the current benchmark-facing status.,Consult only after the front door and routing layer when immediate chain history matters.,2026-04-01 routing audit
aether_flow_primitive_reservoir_observer_reduction_combined_response_substrate_law_next_benchmark_criterion.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_combined_response_substrate_law_next_benchmark_criterion.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_combined_response_substrate_law_next_benchmark_criterion.pdf,Primitive-Reservoir Observer-Reduction Combined Response Substrate Law Next Benchmark Criterion,benchmark_gatekeeping,criterion,benchmark_routing,benchmark_gatekeeping_layer,historical_but_kept_active,"Preserved routing note that recorded why the next honest move below the former combined-response frontier had to target the combined response law itself before the later selector-law forcing theorem spent that preferred option.",historical,benchmark_gate_33_prior_combined_response_frontier_criterion,completion-balance ambient dynamics necessity uniqueness from combined response substrate law theorem,combined response substrate law necessity uniqueness from zero-hidden selector generator law theorem,Preserves the prior routing handoff into the direct selector-law forcing frontier.,"Records that the combined-response ambient forcing theorem was the live frontier and now serves as the handoff into the later selector-law forcing theorem.","Consult only after the front door and current routing layer when reconstructing why the live frontier moved below the combined response law itself.",2026-04-09 routing audit
aether_flow_primitive_reservoir_observer_reduction_combined_response_substrate_law_necessity_uniqueness_from_zero_hidden_selector_generator_law_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_combined_response_substrate_law_necessity_uniqueness_from_zero_hidden_selector_generator_law_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_combined_response_substrate_law_necessity_uniqueness_from_zero_hidden_selector_generator_law_theorem.pdf,Primitive-Reservoir Observer Reduction Combined Response Substrate Law Necessity Uniqueness from Zero-Hidden Selector Generator Law Theorem,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,"Earlier benchmark-facing frontier preserved because it removed the combined response law as the live unexplained stopping point before the later selector-law split-core collapse theorem compressed the full selector law to a smaller split selector-shell core.",historical,primitive_reduction_prior_combined_response_selector_forcing_frontier,completion-balance ambient dynamics necessity uniqueness from combined response substrate law theorem and combined response substrate law next benchmark criterion,zero-hidden selector generator law collapse to split zero-hidden selector-shell core theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the selector-law split-core collapse frontier.,"Derives the combined response substrate law canonically from zero-hidden selector generator law and now serves as the handoff into the smaller split selector-shell-core frontier.","Consult only after the front door and routing layer when immediate selector-law frontier history matters.",2026-04-09 routing audit
aether_flow_primitive_reservoir_observer_reduction_zero_hidden_selector_generator_law_collapse_to_split_zero_hidden_selector_shell_core_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_zero_hidden_selector_generator_law_collapse_to_split_zero_hidden_selector_shell_core_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_zero_hidden_selector_generator_law_collapse_to_split_zero_hidden_selector_shell_core_theorem.pdf,Primitive-Reservoir Observer Reduction Zero-Hidden Selector Generator Law Collapse to Split Zero-Hidden Selector-Shell Core Theorem,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,"Earlier benchmark-facing frontier preserved because it removed the full selector law as the live unexplained stopping point before the later shell-restriction forcing theorem forced the split core itself from primitive substrate shell restriction.",historical,primitive_reduction_prior_selector_split_core_collapse_frontier,combined response substrate law necessity uniqueness from zero-hidden selector generator law theorem and zero-hidden selector generator law next benchmark criterion,split zero-hidden selector-shell core necessity uniqueness from primitive substrate shell restriction theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the direct shell-restriction forcing frontier.,"Collapses the full zero-hidden selector law to a smaller split zero-hidden selector-shell core and now serves as the handoff into the later shell-restriction forcing theorem.","Consult only after the front door and current routing layer when reconstructing why the live frontier moved below the full selector law and then below the split core itself.",2026-04-09 routing audit
aether_flow_primitive_reservoir_observer_reduction_completion_balance_ambient_dynamics_necessity_uniqueness_from_combined_response_substrate_law_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_completion_balance_ambient_dynamics_necessity_uniqueness_from_combined_response_substrate_law_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_completion_balance_ambient_dynamics_necessity_uniqueness_from_combined_response_substrate_law_theorem.pdf,Primitive-Reservoir Observer Reduction Completion-Balance Ambient Dynamics Necessity Uniqueness from Combined Response Substrate Law Theorem,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,"Earlier benchmark-facing frontier preserved because it removed the ambient package as the live unexplained stopping point before the later selector-law forcing theorem removed the combined response law as the live stopping point.",historical,primitive_reduction_prior_ambient_package_combined_response_forcing_frontier,minimal completion-state shell-trace core necessity uniqueness from completion-balance ambient dynamics theorem and completion-balance ambient dynamics next benchmark criterion,combined response substrate law necessity uniqueness from zero-hidden selector generator law theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the direct selector-law forcing frontier.,"Derives the completion-balance ambient dynamics package canonically from combined response substrate law and now serves as the handoff into the deeper selector-law forcing frontier.","Consult only after the front door and routing layer when immediate combined-response frontier history matters.",2026-04-09 routing audit
aether_flow_primitive_reservoir_observer_reduction_completion_balance_ambient_dynamics_necessity_uniqueness_from_zero_hidden_selector_generator_law_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_completion_balance_ambient_dynamics_necessity_uniqueness_from_zero_hidden_selector_generator_law_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_completion_balance_ambient_dynamics_necessity_uniqueness_from_zero_hidden_selector_generator_law_theorem.pdf,Primitive-Reservoir Observer Reduction Completion Balance Ambient Dynamics Necessity Uniqueness from Zero-Hidden Selector Generator Law Theorem,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,"Earlier main-line theorem preserved for continuity, but not the current live frontier.",historical,primitive_reduction_prior_record_05,previous primitive-reservoir observer-reduction step,next primitive-reservoir observer-reduction step,Preserves the benchmark one-metric package and mainly records prior main-line progress.,Records the primitive-reservoir observer-reduction step on primitive-reservoir observer reduction completion balance ambient dynamics necessity uniqueness from zero-hidden selector generator law theorem and preserves earlier main-line progress without by itself changing the current benchmark-facing status.,Consult only after the front door and routing layer when immediate chain history matters.,2026-04-01 routing audit
aether_flow_primitive_reservoir_observer_reduction_datum_origin_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_datum_origin_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_datum_origin_theorem.pdf,Primitive-Reservoir Observer Reduction Datum Origin Theorem,primitive_reservoir,theorem,supporting_main_chain,primitive_reservoir_bridge_entry,active_supporting,Directly supports the current primitive-reservoir frontier or the settled routing record that points to it.,supporting,primitive_bridge_entry_datum_origin,benchmark gatekeeping layer and preserved one-metric observer package,primitive-reservoir observer-reduction line,Supports the current main line without reopening the benchmark package.,Pins down the datum origin needed for the active primitive-reservoir observer-reduction line and supports the current frontier.,Consult when working on the current frontier or explaining why the open burden moved upstream.,2026-04-01 routing audit
aether_flow_primitive_reservoir_observer_reduction_explicit_substrate_package_necessity_uniqueness_from_primitive_dynamics_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_explicit_substrate_package_necessity_uniqueness_from_primitive_dynamics_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_explicit_substrate_package_necessity_uniqueness_from_primitive_dynamics_theorem.pdf,Primitive-Reservoir Observer Reduction Explicit Substrate Package Necessity Uniqueness from Primitive Dynamics Theorem,primitive_reservoir,theorem,supporting_main_chain,primitive_reservoir_observer_reduction_line,active_supporting,Still controls the live bridge-object routing because it identifies the primitive reversible constrained substrate dynamics family as the benchmark-stable missing burden and anchors the later exact-shell affine nucleus sharpening of that object.,supporting,primitive_reduction_bridge_object_anchor_explicit_package,primitive-reservoir observer-reduction stationary substrate construction from equations symmetries constraints theorem,primitive reversible constrained dynamics collapse to minimal exact-shell affine nucleus theorem or another sharper necessity/uniqueness/compression result strictly inside that same bridge object,Changes benchmark-facing routing by fixing the primitive reversible constrained substrate dynamics family and its later exact-shell affine nucleus sharpening as the missing bridge object rather than treating a deeper same-output relay as default progress.,"Derives the explicit substrate package from the primitive reversible constrained substrate dynamics bridge object and now serves as the main bridge-object anchor for the later exact-shell affine nucleus sharpening without by itself making a deeper same-output relay the live primary burden.",Consult after the front door and benchmark-routing layer when identifying the bridge-object family or explaining why the next primary manuscript had to sharpen that object to the later exact-shell affine nucleus.,2026-04-08 routing audit
aether_flow_primitive_reservoir_observer_reduction_foundation_frontier_next_benchmark_criterion.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_foundation_frontier_next_benchmark_criterion.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_foundation_frontier_next_benchmark_criterion.pdf,Primitive-Reservoir Observer-Reduction Foundation Frontier Next Benchmark Criterion,benchmark_gatekeeping,criterion,benchmark_routing,benchmark_gatekeeping_layer,historical_but_kept_active,"Preserved routing note that recorded why another same-output deeper relay no longer counted at the foundation frontier and why the root-level sharpening became the honest next move.",historical,benchmark_gate_08_foundation_frontier_criterion,settled foundation-core compression frontier and recorded foundation-from-root continuation,foundation-generating substrate root dynamics necessity / uniqueness theorem,Recorded the admissible benchmark-facing move below the foundation frontier and screened out benchmark-neutral depth drift.,Records that the foundation-core compression theorem was the live frontier and that the next honest move had to be either a deeper benchmark-relevant sharpening or a smaller foundation-core collapse.,Consult only after the front door and routing layer when reconstructing why the live frontier moved below the foundation layer.,2026-04-02 routing audit
aether_flow_primitive_reservoir_observer_reduction_ground_generating_substrate_foundation_dynamics_from_foundation_generating_substrate_root_dynamics_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_ground_generating_substrate_foundation_dynamics_from_foundation_generating_substrate_root_dynamics_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_ground_generating_substrate_foundation_dynamics_from_foundation_generating_substrate_root_dynamics_theorem.pdf,Primitive-Reservoir Observer Reduction Ground-Generating Substrate Foundation Dynamics from Foundation-Generating Substrate Root Dynamics Theorem,primitive_reservoir,theorem,supporting_main_chain,primitive_reservoir_observer_reduction_line,active_supporting,Directly supports the current foundation-from-root forcing frontier by fixing the recorded root package whose benchmark-relevant core is now the remaining burden below foundation scope.,supporting,primitive_reduction_direct_support_foundation_root_record,previous foundation-facing frontier and preserved ground-from-foundation continuation,ground-generating substrate foundation dynamics necessity uniqueness from foundation-generating substrate root dynamics theorem and ground-generating substrate foundation dynamics next benchmark criterion,Supports the current main line without reopening the benchmark package.,Records the deeper root-to-foundation transport theorem that fixes the root package used by the live foundation-forcing frontier without by itself changing benchmark-facing status.,Consult after the front door and routing layer when reconstructing how the live frontier passes through the recorded root package and why the next burden now sits below foundation scope.,2026-04-09 routing audit
aether_flow_primitive_reservoir_observer_reduction_foundation_generating_substrate_root_dynamics_necessity_uniqueness_theorem.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_foundation_generating_substrate_root_dynamics_necessity_uniqueness_theorem.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_foundation_generating_substrate_root_dynamics_necessity_uniqueness_theorem.pdf,Primitive-Reservoir Observer Reduction Foundation-Generating Substrate Root Dynamics Necessity Uniqueness Theorem,primitive_reservoir,theorem,current_primary_chain,primitive_reservoir_observer_reduction_line,historical_but_kept_active,Earlier benchmark-facing frontier preserved because it removed the remaining freedom at full root-core scope before the later collapse to the smaller root nucleus.,historical,primitive_reduction_prior_root_frontier,recorded root continuation and benchmark-routing handoff from the former foundation frontier,foundation-generating substrate root dynamics collapse to minimal root exact-shell transport nucleus theorem,Preserves prior benchmark-facing main-line progress and the routing handoff into the root-nucleus frontier.,Proves that the larger benchmark-relevant root core is necessary and unique up to root-faithful equivalence and now serves as the handoff into the smaller root-nucleus frontier.,Consult only after the front door and routing layer when immediate root-frontier history matters.,2026-04-02 routing audit
aether_flow_primitive_reservoir_observer_reduction_root_frontier_next_benchmark_criterion.tex,manuscripts/active/tex/aether_flow_primitive_reservoir_observer_reduction_root_frontier_next_benchmark_criterion.tex,manuscripts/active/pdf/aether_flow_primitive_reservoir_observer_reduction_root_frontier_next_benchmark_criterion.pdf,Primitive-Reservoir Observer-Reduction Root Frontier Next Benchmark Criterion,benchmark_gatekeeping,criterion,benchmark_routing,benchmark_gatekeeping_layer,historical_but_kept_active,Preserved routing note that recorded why the next move below the former full-root-core frontier had to be either a deeper derivation or a smaller internal collapse and whose second option is now spent.,historical,benchmark_gate_09_root_frontier_criterion,foundation-generating substrate root dynamics necessity / uniqueness theorem and recorded root continuation,foundation-generating substrate root dynamics collapse to minimal root exact-shell transport nucleus theorem,Recorded the admissible benchmark-facing move below the former root frontier and screened out benchmark-neutral restatements.,Records that the former full-root-core theorem was the live frontier and that the next honest move had to be either a deeper root-dynamics derivation or a smaller collapse inside that root core.,Consult only after the front door and routing layer when reconstructing why the live frontier moved inside the former root core.,2026-04-02 routing audit
